Дата;ТС;ДтЛ;ДтЕ;ДтЗ;95;92;80
26.07.2013;36875;38403;0;0;38938;37778;34237
29.07.2013;37443;38522;0;0;0;37778;34237
30.07.2013;38043;38687;0;0;42055;38117;34237
31.07.2013;38140;38382;0;0;40247;39248;34337
01.08.2013;37765;37982;0;0;0;39438;34887
02.08.2013;39075;37982;0;0;0;39438;34888
05.08.2013;39075;37982;0;0;0;39437;34887
06.08.2013;39355;37982;0;0;42755;39737;0
07.08.2013;39075;37982;0;0;0;40087;34887
08.08.2013;39365;38334;0;0;0;40865;34887
09.08.2013;40490;38382;0;0;0;40107;34887
12.08.2013;40972;38382;0;0;45655;40137;0
13.08.2013;39265;38382;0;0;45055;40137;0
14.08.2013;39265;38382;0;0;40737;40137;34887
15.08.2013;39140;38382;0;0;44655;40137;34887
16.08.2013;39065;38382;0;0;41537;42055;0
19.08.2013;38865;38382;0;0;41537;39737;0
20.08.2013;39190;38382;0;0;44668;39737;0
21.08.2013;38265;38388;0;0;45012;39737;34337
22.08.2013;38165;38715;0;0;45098;39737;0
23.08.2013;38165;38903;0;0;42068;39839;0
26.08.2013;38165;38782;0;0;0;40144;34337
27.08.2013;38466;38827;0;0;42408;40238;34337
28.08.2013;38641;38894;0;0;42737;39737;0
29.08.2013;41240;39113;0;0;42807;42405;0
30.08.2013;41340;39122;0;0;47198;42570;34337
02.09.2013;39065;39103;0;0;0;39737;34337
03.09.2013;39065;39103;0;0;46555;39737;0
04.09.2013;39366;39103;0;0;42807;39737;0
05.09.2013;39565;39103;0;0;46555;39737;38399
06.09.2013;42190;39103;0;0;42838;39737;38899
09.09.2013;42190;39103;0;0;46555;39842;39399
10.09.2013;42303;39105;0;0;46716;39988;39599
11.09.2013;40865;38903;0;0;42837;40217;39599
12.09.2013;41515;38903;0;0;46455;40227;39699
13.09.2013;41515;38482;0;0;42837;40248;35037
16.09.2013;41515;37982;0;0;46455;40287;35037
17.09.2013;43140;37982;0;0;42837;42655;35137
18.09.2013;41515;38003;0;0;42837;40287;34937
19.09.2013;41515;38003;0;0;42837;40137;34937
20.09.2013;43540;38109;0;0;45899;41355;34837
23.09.2013;41515;38153;42082;0;45355;40237;40199
24.09.2013;43640;37903;0;0;45255;39737;34537
25.09.2013;43640;37703;41882;39808;46099;39537;34337
26.09.2013;41515;37403;0;42040;42637;40955;0
27.09.2013;41515;38382;0;44692;44855;39137;34237
30.09.2013;41515;37403;0;42703;0;39137;34337
01.10.2013;42590;37403;0;42403;42637;39037;34337
02.10.2013;42743;37403;0;42403;45355;39037;34337
03.10.2013;42840;37403;40490;42403;45566;38937;34395
04.10.2013;42840;37403;41196;42406;42823;38937;34493
07.10.2013;42947;37203;40982;42573;42937;38937;34587
08.10.2013;42565;36703;40482;42604;45399;38937;0
09.10.2013;42765;36303;40082;42603;42937;38937;34587
